src_ip,dst_ip,protocol,src_port,dst_port,ttl,id,timestamp
104.46.162.225,192.168.1.156,6,443,49962,114,8405,Fri Nov  8 17:27:30 2024
104.46.162.225,192.168.1.156,6,443,49962,114,8406,Fri Nov  8 17:27:30 2024
192.168.1.156,104.46.162.225,6,49962,443,64,0,Fri Nov  8 17:27:30 2024
20.189.173.24,192.168.1.156,6,443,49995,116,1894,Fri Nov  8 17:27:30 2024
192.168.1.156,20.189.173.24,6,49995,443,64,0,Fri Nov  8 17:27:30 2024
192.168.1.156,20.189.173.24,6,49995,443,64,0,Fri Nov  8 17:27:30 2024
192.168.1.156,20.189.173.24,6,49995,443,64,0,Fri Nov  8 17:27:30 2024
20.189.173.24,192.168.1.156,6,443,49995,116,1895,Fri Nov  8 17:27:31 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:31 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:31 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:31 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:31 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:31 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:31 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:31 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:31 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:31 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:31 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:32 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:32 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:32 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:32 2024
192.168.1.152,239.255.255.250,17,60576,15600,64,42064,Fri Nov  8 17:27:32 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:32 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:32 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:33 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:33 2024
192.168.1.156,142.250.81.234,17,59904,443,64,0,Fri Nov  8 17:27:35 2024
142.250.81.234,192.168.1.156,17,443,59904,60,0,Fri Nov  8 17:27:35 2024
192.168.1.152,192.168.1.255,17,59630,15600,64,26198,Fri Nov  8 17:27:35 2024
104.18.87.42,192.168.1.156,6,443,49948,59,35543,Fri Nov  8 17:27:35 2024
104.18.87.42,192.168.1.156,6,443,49948,59,35544,Fri Nov  8 17:27:35 2024
104.18.87.42,192.168.1.156,6,443,49948,59,35545,Fri Nov  8 17:27:35 2024
104.18.87.42,192.168.1.156,6,443,49947,59,24838,Fri Nov  8 17:27:35 2024
104.18.87.42,192.168.1.156,6,443,49947,59,24839,Fri Nov  8 17:27:35 2024
104.18.87.42,192.168.1.156,6,443,49947,59,24840,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49948,443,64,0,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49948,443,64,0,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49948,443,64,0,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49947,443,64,0,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49947,443,64,0,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49947,443,64,0,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49948,443,64,0,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49947,443,64,0,Fri Nov  8 17:27:35 2024
192.168.1.156,104.18.87.42,6,49948,443,64,0,Fri Nov  8 17:27:36 2024
192.168.1.156,104.18.87.42,6,49947,443,64,0,Fri Nov  8 17:27:36 2024
104.18.87.42,192.168.1.156,6,443,49947,59,0,Fri Nov  8 17:27:36 2024
104.18.87.42,192.168.1.156,6,443,49948,59,0,Fri Nov  8 17:27:36 2024
192.168.1.156,239.255.255.250,17,51710,1900,1,12956,Fri Nov  8 17:27:36 2024
192.168.1.156,104.46.162.225,6,49962,443,64,0,Fri Nov  8 17:27:36 2024
